date,open,high,low,close,pct_change,volume
2024-11-04,3275.68,3310.21,3263.84,3310.21,1.17%,665077504.0
2024-11-05,3306.81,3386.99,3302.05,3386.99,2.32%,821124864.0
2024-11-06,3395.22,3421.0,3367.08,3383.81,-0.09%,895855872.0
2024-11-07,3359.99,3470.66,3356.26,3470.66,2.57%,959556672.0
2024-11-08,3502.13,3509.82,3443.19,3452.3,-0.53%,964034560.0
2024-11-11,3432.37,3471.12,3416.73,3470.07,0.51%,818025408.0
2024-11-12,3469.89,3489.42,3402.04,3421.97,-1.39%,817926528.0
2024-11-13,3406.92,3442.3,3404.53,3439.28,0.51%,673662336.0
2024-11-14,3429.51,3441.77,3376.15,3379.84,-1.73%,631556736.0
2024-11-15,3369.81,3391.32,3330.73,3330.73,-1.45%,630285568.0
2024-11-18,3344.69,3386.9,3309.01,3323.85,-0.21%,743950656.0
2024-11-19,3324.88,3346.76,3284.13,3346.01,0.67%,625024192.0
2024-11-20,3337.68,3375.25,3333.0,3367.99,0.66%,566154304.0
2024-11-21,3362.94,3378.52,3348.86,3370.4,0.07%,530331808.0
2024-11-22,3368.04,3372.0,3267.19,3267.19,-3.06%,630687808.0
2024-11-25,3274.88,3285.46,3232.92,3263.76,-0.11%,538897408.0
2024-11-26,3256.86,3285.33,3252.87,3259.76,-0.12%,472219328.0
2024-11-27,3250.59,3309.88,3227.36,3309.78,1.53%,511202304.0
2024-11-28,3308.28,3319.26,3290.36,3295.7,-0.43%,511953056.0
2024-11-29,3295.21,3357.5,3293.69,3326.46,0.93%,580227136.0
2024-12-02,3328.48,3369.3,3323.01,3363.98,1.13%,668477760.0
2024-12-03,3366.29,3386.62,3348.37,3378.81,0.44%,663030144.0
2024-12-04,3376.57,3388.02,3352.94,3364.65,-0.42%,621028864.0
2024-12-05,3353.06,3377.05,3353.06,3368.86,0.12%,543885760.0
2024-12-06,3370.94,3418.26,3364.21,3404.08,1.05%,698186560.0
2024-12-09,3402.63,3426.65,3385.96,3402.53,-0.05%,694905216.0
2024-12-10,3490.29,3494.87,3417.77,3422.66,0.59%,794668096.0
2024-12-11,3416.09,3437.81,3416.09,3432.49,0.29%,681544640.0
2024-12-12,3432.28,3464.12,3425.98,3461.5,0.85%,700096704.0
2024-12-13,3442.93,3442.93,3390.75,3391.88,-2.01%,777464128.0
2024-12-16,3390.08,3401.93,3376.54,3386.33,-0.16%,625579008.0
2024-12-17,3381.81,3396.21,3357.77,3361.49,-0.73%,568941504.0
2024-12-18,3371.3,3396.46,3371.3,3382.21,0.62%,512524992.0
2024-12-19,3355.9,3377.53,3346.47,3370.03,-0.36%,513909056.0
2024-12-20,3364.48,3390.62,3362.82,3368.07,-0.06%,490964608.0
2024-12-23,3367.9,3384.99,3348.28,3351.26,-0.50%,556747264.0
2024-12-24,3353.54,3394.9,3352.95,3393.53,1.26%,471992704.0
2024-12-25,3395.11,3406.21,3374.01,3393.35,-0.01%,471315584.0
2024-12-26,3389.34,3401.1,3380.25,3398.08,0.14%,422177248.0
2024-12-27,3397.29,3418.95,3388.32,3400.14,0.06%,500488096.0
2024-12-30,3395.4,3412.84,3394.96,3407.33,0.21%,455262368.0
2024-12-31,3406.97,3413.45,3351.76,3351.76,-1.63%,502731072.0
2025-01-02,3347.94,3351.72,3242.09,3262.56,-2.66%,561375168.0
2025-01-03,3267.08,3273.57,3205.78,3211.43,-1.57%,517592032.0
2025-01-06,3209.78,3219.49,3185.46,3206.92,-0.14%,430978432.0
2025-01-07,3203.31,3230.85,3190.46,3229.64,0.71%,409660544.0
2025-01-08,3218.86,3246.29,3175.72,3230.17,0.02%,472864384.0
2025-01-09,3220.72,3228.97,3205.91,3211.39,-0.58%,382943552.0
2025-01-10,3211.71,3220.11,3168.52,3168.52,-1.33%,403663328.0
2025-01-13,3148.83,3172.7,3140.98,3160.75,-0.25%,372742016.0
2025-01-14,3165.16,3245.22,3159.43,3240.94,2.54%,469212704.0
2025-01-15,3234.72,3245.9,3222.24,3227.12,-0.43%,404723168.0
2025-01-16,3239.03,3265.28,3217.1,3236.03,0.28%,430655520.0
2025-01-17,3226.76,3256.51,3219.77,3241.82,0.18%,383599232.0
2025-01-20,3256.15,3268.26,3238.12,3244.38,0.08%,403337952.0
2025-01-21,3256.83,3258.61,3229.07,3242.62,-0.05%,384583712.0
2025-01-22,3235.49,3235.5,3203.38,3213.62,-0.89%,364817536.0
2025-01-23,3237.6,3273.52,3229.57,3230.16,0.51%,458246784.0
